y,x1,x2
-1487789,-426331,-9258
-756706,-120291,-836415
-936701,25098,-961799
-230953,-629365,398412
-826374,67060,-893454
-680179,-365215,-314964
-995660,-969592,-26068
-550202,377307,-927509
757366,473308,284058
69096,161562,-92466
-1046260,-479349,-566911
881361,622286,259075
-729764,-570662,-159102
54747,537374,-482627
-576681,-990387,413706
1044683,742698,301985
1374951,904213,470738
-420376,74312,-494688
-1079600,-770173,-309427
-423288,-327024,-96264
46851,-389396,436247
292451,542868,-250417
508458,134281,374177
292199,112104,180095
-40487,71109,-111596
1001294,145351,855943
-216941,-573712,356771
263877,261284,2593
863099,-123407,986506
109620,-814627,924247
-561188,-286617,-274571
78917,262782,-183865
-473655,-319543,-154112
18675,911596,-892921
-504743,478063,-982806
-695629,-591923,-103706
-998485,-490568,-507917
473495,281050,192445
824551,-77734,902285
-25605,-862043,836438
-755864,62395,-818259
422734,204918,217816
-101453,-356934,255481
-115109,-280532,165423
-1308928,-572294,-736634
1240052,651600,588452
1767864,883274,884590
-186851,-252583,65732
284090,-477789,761879
384334,49165,335169
-261078,-208325,-52753
389390,601898,-212508
-642732,-450510,-192222
-479325,-39817,-439508
257849,461165,-203316
-1342908,-636836,-706072
-287018,-121265,-165753
1158010,207144,950866
-464090,-541835,77745
1118530,124984,993546
429916,-72236,502152
1940819,975118,965701
430933,646668,-215735
-679624,-365577,-314047
-291089,242510,-533599
-811092,-183909,-627183
94128,237421,-143293
-332991,-561943,228952
428206,-546353,974559
118777,-597088,715865
-895121,51369,-946490
1632655,856140,776515
177377,526500,-349123
-432626,-923967,491341
-619564,279521,-899085
1431165,816458,614707
-829990,-552563,-277427
-451096,-316987,-134109
-1527659,-656747,-870912
86333,-823130,909463
667910,437293,230617
-13940,-430098,416158
547351,-344204,891555
357498,379934,-22436
1068401,135890,932511
547152,892692,-345540
-69354,-4669,-64685
-411968,269571,-681539
963427,75789,887638
-1684908,-762647,-922261
1012616,535858,476758
-719220,-238659,-480561
-255639,543193,-798832
-1071373,-199184,-872189
-547393,-534153,-13240
23553,-52073,75626
859396,178086,681310
-1824518,-839057,-985461
-890884,-618166,-272718
11847,-855460,867307
1142013,829740,312273
-183954,-232055,48101
1289647,672768,616879
-1545695,-964341,-581354
-742897,-326678,-416219
-817431,-515202,-302229
-39029,273617,-312646
168889,-39166,208055
-239892,-936423,696531
971986,826084,145902
186325,-551346,737671
266887,328490,-61603
1184131,931370,252761
376623,-56957,433580
-1197435,-967528,-229907
454230,-223837,678067
194299,97479,96820
-379344,579448,-958792
83794,-142843,226637
-45300,614274,-659574
-422441,165359,-587800
-144654,676,-145330
709329,35294,674035
121561,978307,-856746
535407,188104,347303
886969,593606,293363
499744,-32074,531818
1492962,668751,824211
-324524,-687814,363290
374755,758538,-383783
-370922,-82970,-287952
-209354,-277558,68204
194970,-550843,745813
191195,207958,-16763
293897,-230421,524318
-795877,-245348,-550529
98187,-430156,528343
-421740,-163754,-257986
933528,469223,464305
-216234,-62397,-153837
172000,681088,-509088
207701,793133,-585432
-492432,-482975,-9457
480978,698332,-217354
1294037,758529,535508
1026632,407990,618642
-591457,-188939,-402518
930721,634148,296573
167834,799768,-631934
-412022,-665117,253095
1109398,955459,153939
766657,-37153,803810
-676028,298148,-974176
747043,668434,78609
-523298,156519,-679817
-428376,86414,-514790
-1518602,-567259,-951343
627885,-261771,889656
68884,-618109,686993
235757,991288,-755531
-829616,114258,-943874
-9260,643650,-652910
1013620,790640,222980
-369301,-184029,-185272
952364,8897,943467
-51659,598275,-649934
-90936,318409,-409345
582101,962405,-380304
-309633,33204,-342837
-871276,101584,-972860
-762572,-672502,-90070
-29096,417797,-446893
-646401,-71701,-574700
-94875,290521,-385396
128375,-671587,799962
-588296,-395914,-192382
144459,-673342,817801
-1017870,-654121,-363749
1030648,607370,423278
-710888,26950,-737838
-1483406,-877700,-605706
-1162317,-720638,-441679
-42356,-104281,61925
1655049,659387,995662
-1866367,-970197,-896170
115630,-585637,701267
-844701,-958554,113853
755437,-91471,846908
-911658,-971679,60021
-696346,-12010,-684336
167400,493734,-326334
111598,599913,-488315
-556940,-906390,349450
224276,-540707,764983
-446058,174318,-620376
-222419,-887661,665242
-816547,164812,-981359
-329950,-366145,36195
-1171529,-886178,-285351
219405,253426,-34021
944100,187507,756593
389163,-71197,460360
-1142794,-261760,-881034
-463701,440971,-904672
689726,227493,462233
1243943,781109,462834
457763,707933,-250170
-1070996,-464214,-606782
282122,-393126,675248
1874358,994044,880314
230380,151792,78588
-6488,300576,-307064
-344391,478508,-822899
-237173,-984196,747023
-893591,-691494,-202097
839287,490171,349116
-522066,-865703,343637
902270,700004,202266
683349,749902,-66553
-82145,71304,-153449
-396007,-388471,-7536
608389,535101,73288
-200235,-170736,-29499
924323,882755,41568
-121511,-44671,-76840
381056,563115,-182059
-900962,-789269,-111693
504973,864595,-359622
372985,642682,-269697
-124763,-790497,665734
-149577,187978,-337555
-539493,-335839,-203654
819536,783249,36287
903078,997952,-94874
-785232,-689225,-96007
915796,198497,717299
-1176311,-650164,-526147
445850,-495119,940969
1398123,995524,402599
-664070,-817078,153008
664653,730811,-66158
737457,205721,531736
-1330308,-400179,-930129
-1339221,-431697,-907524
577125,881703,-304578
1369526,992763,376763
233747,421369,-187622
-567708,-490650,-77058
-120114,819014,-939128
774465,488938,285527
-137045,-430741,293696
30688,766239,-735551
1019199,522780,496419
231416,118192,113224
-467004,324796,-791800
1045654,979943,65711
977757,546105,431652
-400285,-275977,-124308
359936,-1677,361613
-453885,-91570,-362315
183328,376527,-193199
1143635,346108,797527
565304,192246,373058
1246135,286387,959748
194027,399870,-205843
-1443050,-702798,-740252
226102,-267076,493178
-241195,298102,-539297
1173120,467849,705271
1091001,984656,106345
-486683,-738436,251753
-301263,-135462,-165801
94524,912694,-818170
233428,-502904,736332
1178496,765221,413275
-1089688,-395871,-693817
-365024,494266,-859290
-76929,592702,-669631
-504118,299509,-803627
-110179,-608545,498366
448752,-212246,660998
-971836,-939420,-32416
1130345,865439,264906
897095,739802,157293
-408753,-921706,512953
-804362,-362384,-441978
-692751,-795267,102516
-554476,-475168,-79308
859179,402436,456743
412527,228714,183813
1452912,560723,892189
418922,-216714,635636
-70173,-547809,477636
1674450,799580,874870
1558130,858657,699473
-512345,-450799,-61546
-608372,-944066,335694
-576629,355924,-932553
-285480,13124,-298604
1549033,677310,871723
1549408,813193,736215
1366117,658358,707759
171471,406606,-235135
-759140,109875,-869015
-1221875,-299712,-922163
567102,698250,-131148
1160664,793422,367242
40439,-760533,800972
-389783,-227490,-162293
319961,-1647,321608
1141218,228834,912384
696023,973128,-277105
23090,421639,-398549
1091602,141333,950269
534058,742064,-208006
-1604403,-633719,-970684
-283206,-364386,81180
81319,-548352,629671
-960757,-360914,-599843
-278936,450343,-729279
-300220,-767835,467615
-6115,-583723,577608
732361,-244219,976580
-705535,-755727,50192
268897,896324,-627427
-457172,-657227,200055
-713016,13050,-726066
78250,139819,-61569
3259,-178440,181699
830609,686275,144334
59176,230673,-171497
-427944,-577998,150054
-1085333,-921281,-164052
-821176,32056,-853232
-1481427,-884550,-596877
-429789,548700,-978489
-899953,26808,-926761
248922,-487719,736641
-1619958,-811657,-808301
296533,-687111,983644
1457185,521995,935190
-136376,-610588,474212
898993,126859,772134
-812968,-560311,-252657
-1105714,-158036,-947678
607950,947491,-339541
62413,-158924,221337
554246,479163,75083
-318387,-280231,-38156
733707,-70739,804446
-741478,-325742,-415736
489932,-500939,990871
-1198530,-389254,-809276
1434997,933706,501291
63509,385432,-321923
937859,873419,64440
-154056,-808683,654627
621365,33355,588010
1234647,937202,297445
506129,-350302,856431
-85774,461643,-547417
524579,960584,-436005
456949,9148,447801
937902,688016,249886
1160409,507464,652945
-728906,93403,-822309
1770880,943395,827485
-646472,-943953,297481
1107563,385024,722539
-910310,-125022,-785288
323612,-496471,820083
91709,255488,-163779
-1412244,-477118,-935126
-145227,-834020,688793
400491,694957,-294466
-802851,-461943,-340908
-283599,-281403,-2196
1387850,846992,540858
21140,304370,-283230
-988416,-281250,-707166
145665,416942,-271277
311058,999633,-688575
799745,688456,111289
1295443,719803,575640
1639018,931986,707032
154968,950278,-795310
176533,-606869,783402
-6013,494590,-500603
-377609,-277102,-100507
128195,221897,-93702
267836,-500964,768800
-56309,-343699,287390
1709510,932093,777417
-331629,-119810,-211819
-218405,143619,-362024
-753254,-749945,-3309
1299827,313811,986016
-468116,-717013,248897
-456825,-741468,284643
82148,711132,-628984
-1319110,-934578,-384532
-609780,-134973,-474807
-904895,-606970,-297925
694198,422955,271243
74047,-102203,176250
564316,-192005,756321
-628653,37667,-666320
-724381,-450861,-273520
-522289,-113715,-408574
-445437,-100610,-344827
903749,388210,515539
-117968,564982,-682950
93129,-638135,731264
-235726,718290,-954016
-841395,-650761,-190634
-1022402,-779963,-242439
-202931,405363,-608294
7353,-267339,274692
-155488,622667,-778155
-1090551,-300043,-790508
-536820,-741010,204190
348579,205979,142600
-259671,-956948,697277
-684993,-341407,-343586
1179788,401990,777798
-889380,-97786,-791594
1468522,573095,895427
-163602,-943944,780342
956251,829313,126938
230941,-655607,886548
1635400,813728,821672
-183519,419385,-602904
-1465526,-748059,-717467
1518137,854949,663188
-15002,-606621,591619
764119,887578,-123459
335966,403761,-67795
791271,-122420,913691
144377,650528,-506151
1213260,713585,499675
-634545,-106762,-527783
-841029,-746195,-94834
981556,558178,423378
-1554418,-683458,-870960
1224994,545036,679958
-769646,-53216,-716430
588010,815403,-227393
-329842,-59431,-270411
-740111,-253350,-486761
-313935,616732,-930667
-1221835,-438658,-783177
802290,354291,447999
58573,-66352,124925
-1856298,-908455,-947843
1634762,946409,688353
-211203,-428841,217638
-24465,440588,-465053
-750106,-811362,61256
337018,956249,-619231
-818679,-128612,-690067
-158650,-43565,-115085
94055,104063,-10008
-1095874,-418371,-677503
1036750,962702,74048
328909,221336,107573
391952,572988,-181036
-787168,-792932,5764
-1027897,-194623,-833274
1237331,608632,628699
-618074,-819745,201671
-953931,-943807,-10124
591186,103134,488052
1931212,958241,972971
197826,-395668,593494
641478,574521,66957
-901619,-713692,-187927
-208494,-304742,96248
-407442,-353866,-53576
848908,-113021,961929
-564332,-742839,178507
-950775,-146884,-803891
636520,222247,414273
-153467,454423,-607890
-1389980,-714933,-675047
1521446,856153,665293
-97648,395945,-493593
-632585,-985458,352873
1081867,358782,723085
-145184,-567870,422686
-456041,-408962,-47079
1220226,470258,749968
1361894,482346,879548
571247,443339,127908
-171489,401642,-573131
315112,-355331,670443
412114,-291418,703532
431587,404369,27218
93710,327346,-233636
1150940,774853,376087
-406948,-48066,-358882
-1649500,-676920,-972580
-805082,71457,-876539
905605,641872,263733
336915,41823,295092
-1202805,-322118,-880687
-1248262,-250312,-997950
-29116,-456190,427074
764188,641350,122838
-442732,-873486,430754
-618037,-77239,-540798
134118,-692368,826486
69075,675819,-606744
-871657,-877756,6099
590331,-351365,941696
190789,320409,-129620
205330,-729123,934453
-381471,-302798,-78673
422662,-67034,489696
-345943,16067,-362010
581994,-278426,860420
283790,458796,-175006
-190261,-984201,793940
218269,-52308,270577
-334659,-283186,-51473
65388,948416,-883028
-1811489,-859441,-952048
-287180,-607033,319853
-1473750,-553676,-920074
484723,288256,196467
-265912,-540466,274554
984452,439064,545388
164749,353155,-188406
921705,573026,348679
-346997,-697137,350140
363588,541521,-177933
12443,179824,-167381
253825,93524,160301
-385139,-390328,5189
-664174,-623090,-41084
537735,758382,-220647
262453,642310,-379857
1810508,852574,957934
